I, [2014-12-04T20:17:09.328054 #12170]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-12-04T20:17:09.353210 #12170] ERROR -- Kitchen: ------Exception-------
E, [2014-12-04T20:17:09.353346 #12170] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-12-04T20:17:09.353402 #12170] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/chef-repo/.kitchen.yml does not exist.
E, [2014-12-04T20:17:09.353454 #12170] ERROR -- Kitchen: ------Backtrace-------
E, [2014-12-04T20:17:09.353503 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-12-04T20:17:09.353695 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:78:in `data'
E, [2014-12-04T20:17:09.353765 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:66:in `suites'
E, [2014-12-04T20:17:09.353821 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-12-04T20:17:09.353871 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-12-04T20:17:09.353921 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:52:in `instances'
E, [2014-12-04T20:17:09.353971 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2014-12-04T20:17:09.354020 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-12-04T20:17:09.354070 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-12-04T20:17:09.354119 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2014-12-04T20:17:09.354196 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:36:in `call'
E, [2014-12-04T20:17:09.354246 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:47:in `perform'
E, [2014-12-04T20:17:09.354296 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-12-04T20:17:09.354345 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2014-12-04T20:17:09.354394 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2014-12-04T20:17:09.354443 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2014-12-04T20:17:09.354493 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2014-12-04T20:17:09.354559 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2014-12-04T20:17:09.354615 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2014-12-04T20:17:09.354665 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-12-04T20:17:09.354714 #12170] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2014-12-04T20:17:09.354764 #12170] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:10:in `load'
E, [2014-12-04T20:17:09.354813 #12170] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:10:in `<main>'
E, [2014-12-04T20:17:09.354866 #12170] ERROR -- Kitchen: ----------------------
